año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|10 - Engativá|00 a 04|33187|772|0.02326212070991653358
2023|11 - Suba|00 a 04|68536|3873|0.05651044706431656356
2023|12 - Barrios Unidos|00 a 04|9169|127|0.01385101974042970880
2023|13 - Teusaquillo|00 a 04|7067|21|0.00297155794537993491
2023|14 - Los Mártires|00 a 04|4966|226|0.04550946435763189690
2023|15 - Antonio Nariño|00 a 04|7290|193|0.02647462277091906722
2023|16 - Puente Aranda|00 a 04|13031|176|0.01350625431662957563
2023|17 - La Candelaria|00 a 04|651|54|0.08294930875576036866
2023|18 - Rafael Uribe Uribe|00 a 04|29061|1842|0.06338391658924331578
2023|19 - Ciudad Bolívar|00 a 04|56839|1842|0.03240732595576980594
2023|1 - Usaquén|00 a 04|30452|802|0.02633652962038618153
2023|20 - Sumapaz|00 a 04|323|134|0.41486068111455108359
2023|2 - Chapinero|00 a 04|10228|60|0.00586624951114587407
2023|3 - Santa Fe|00 a 04|8393|775|0.09233885380674371500
2023|4 - San Cristóbal|00 a 04|32239|1214|0.03765625484661434908
2023|5 - Usme|00 a 04|36417|3599|0.09882747068676716918
2023|6 - Tunjuelito|00 a 04|15283|864|0.05653340312765818229
2023|7 - Bosa|00 a 04|49865|5916|0.11864032888799759350
2023|8 - Kennedy|00 a 04|47940|5000|0.10429703796412181894
2023|9 - Fontibón|00 a 04|20692|349|0.01686642180552870675
2023|10 - Engativá|05 a 09|43979|659|0.01498442438436526524
2023|11 - Suba|05 a 09|75548|3904|0.05167575581087520517
2023|12 - Barrios Unidos|05 a 09|6589|89|0.01350736075276976779
2023|13 - Teusaquillo|05 a 09|6110|9|0.00147299509001636661
2023|14 - Los Mártires|05 a 09|4679|175|0.03740115409275486215
2023|15 - Antonio Nariño|05 a 09|3987|235|0.05894156007022824179
2023|16 - Puente Aranda|05 a 09|12427|148|0.01190955178240927014
2023|17 - La Candelaria|05 a 09|631|51|0.08082408874801901743
2023|18 - Rafael Uribe Uribe|05 a 09|24742|1851|0.07481206046398835987
2023|19 - Ciudad Bolívar|05 a 09|49953|2190|0.04384121073809380818
2023|1 - Usaquén|05 a 09|30386|593|0.01951556637925360363
2023|20 - Sumapaz|05 a 09|330|127|0.38484848484848484848
2023|2 - Chapinero|05 a 09|8198|63|0.00768480117101732130
2023|3 - Santa Fe|05 a 09|6522|791|0.12128181539405090463
2023|4 - San Cristóbal|05 a 09|26784|1072|0.04002389486260454002
2023|5 - Usme|05 a 09|29859|5172|0.17321410629960815834
2023|6 - Tunjuelito|05 a 09|11010|1022|0.09282470481380563124
2023|7 - Bosa|05 a 09|51838|7131|0.13756317759172807593
2023|8 - Kennedy|05 a 09|65179|5480|0.08407615949922521057
2023|9 - Fontibón|05 a 09|21660|263|0.01214219759926131117
2023|10 - Engativá|100 o más|361|3|0.00831024930747922438
2023|11 - Suba|100 o más|738|33|0.04471544715447154472
2023|12 - Barrios Unidos|100 o más|116|3|0.02586206896551724138
2023|14 - Los Mártires|100 o más|20|1|0.05000000000000000000
2023|15 - Antonio Nariño|100 o más|24|3|0.12500000000000000000
2023|16 - Puente Aranda|100 o más|127|1|0.00787401574803149606
2023|18 - Rafael Uribe Uribe|100 o más|109|20|0.18348623853211009174
2023|19 - Ciudad Bolívar|100 o más|116|7|0.06034482758620689655
2023|1 - Usaquén|100 o más|641|6|0.00936037441497659906
2023|3 - Santa Fe|100 o más|48|3|0.06250000000000000000
2023|4 - San Cristóbal|100 o más|117|4|0.03418803418803418803
2023|5 - Usme|100 o más|42|22|0.52380952380952380952
2023|6 - Tunjuelito|100 o más|66|24|0.36363636363636363636
2023|7 - Bosa|100 o más|108|32|0.29629629629629629630
2023|8 - Kennedy|100 o más|545|35|0.06422018348623853211
2023|9 - Fontibón|100 o más|198|1|0.00505050505050505051
2023|10 - Engativá|10 a 14|44788|433|0.00966776815218362061
2023|11 - Suba|10 a 14|74336|2767|0.03722287989668532071
2023|12 - Barrios Unidos|10 a 14|6657|63|0.00946372239747634069
2023|13 - Teusaquillo|10 a 14|5910|24|0.00406091370558375635
2023|14 - Los Mártires|10 a 14|4383|88|0.02007757243896874287
2023|15 - Antonio Nariño|10 a 14|4516|171|0.03786536758193091231
2023|16 - Puente Aranda|10 a 14|13217|155|0.01172732087463115684
2023|17 - La Candelaria|10 a 14|803|39|0.04856787048567870486
2023|18 - Rafael Uribe Uribe|10 a 14|24893|1413|0.05676294540633913148
2023|19 - Ciudad Bolívar|10 a 14|48933|1708|0.03490486992418204484
2023|1 - Usaquén|10 a 14|28954|277|0.00956689921945154383
2023|20 - Sumapaz|10 a 14|321|115|0.35825545171339563863
2023|2 - Chapinero|10 a 14|6721|24|0.00357089718791846451
2023|3 - Santa Fe|10 a 14|6045|563|0.09313482216708023160
2023|4 - San Cristóbal|10 a 14|26809|794|0.02961691969114849491
2023|5 - Usme|10 a 14|30473|4876|0.16001050109933383651
2023|6 - Tunjuelito|10 a 14|10898|917|0.08414387961093778675
2023|7 - Bosa|10 a 14|52644|6391|0.12140034951751386673
2023|8 - Kennedy|10 a 14|65869|4373|0.06638934855546615251
2023|9 - Fontibón|10 a 14|21830|181|0.00829134218964727439
2023|10 - Engativá|15 a 19|49706|551|0.01108518086347724621
2023|11 - Suba|15 a 19|80128|2685|0.03350888578274760383
2023|12 - Barrios Unidos|15 a 19|7646|91|0.01190164792048129741
2023|13 - Teusaquillo|15 a 19|6734|43|0.00638550638550638551
2023|14 - Los Mártires|15 a 19|4741|89|0.01877241088377979329
2023|15 - Antonio Nariño|15 a 19|5188|155|0.02987663839629915189
2023|16 - Puente Aranda|15 a 19|14788|188|0.01271301054909385989
2023|17 - La Candelaria|15 a 19|1751|37|0.02113078241005139920
2023|18 - Rafael Uribe Uribe|15 a 19|26583|1273|0.04788774780874995298
2023|19 - Ciudad Bolívar|15 a 19|50693|1474|0.02907699287870120135
2023|1 - Usaquén|15 a 19|30744|332|0.01079885506115014312
2023|20 - Sumapaz|15 a 19|319|133|0.41692789968652037618
2023|2 - Chapinero|15 a 19|7123|24|0.00336936683981468482
2023|3 - Santa Fe|15 a 19|6761|593|0.08770891879899423162
2023|4 - San Cristóbal|15 a 19|29205|721|0.02468755350111282315
2023|5 - Usme|15 a 19|31286|4128|0.13194400051141085470
