año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|10 - Engativá|00 a 04|33187|772|0.02326212070991653358
2023|11 - Suba|00 a 04|68536|3882|0.05664176491187113342
2023|12 - Barrios Unidos|00 a 04|9169|128|0.01396008288799214745
2023|13 - Teusaquillo|00 a 04|7067|21|0.00297155794537993491
2023|14 - Los Mártires|00 a 04|4966|226|0.04550946435763189690
2023|15 - Antonio Nariño|00 a 04|7290|196|0.02688614540466392318
2023|16 - Puente Aranda|00 a 04|13031|176|0.01350625431662957563
2023|17 - La Candelaria|00 a 04|651|54|0.08294930875576036866
2023|18 - Rafael Uribe Uribe|00 a 04|29061|1843|0.06341832696741337187
2023|19 - Ciudad Bolívar|00 a 04|56839|1845|0.03246010661693555481
2023|1 - Usaquén|00 a 04|30452|805|0.02643504531722054381
2023|20 - Sumapaz|00 a 04|323|134|0.41486068111455108359
2023|2 - Chapinero|00 a 04|10228|60|0.00586624951114587407
2023|3 - Santa Fe|00 a 04|8393|775|0.09233885380674371500
2023|4 - San Cristóbal|00 a 04|32239|1218|0.03778032817395080493
2023|5 - Usme|00 a 04|36417|3608|0.09907460801274130214
2023|6 - Tunjuelito|00 a 04|15283|865|0.05659883530720408297
2023|7 - Bosa|00 a 04|49865|5921|0.11874059961897122230
2023|8 - Kennedy|00 a 04|47940|5011|0.10452649144764288694
2023|9 - Fontibón|00 a 04|20692|349|0.01686642180552870675
2023|10 - Engativá|05 a 09|43979|661|0.01502990063439368790
2023|11 - Suba|05 a 09|75548|3907|0.05171546566421348017
2023|12 - Barrios Unidos|05 a 09|6589|88|0.01335559265442404007
2023|13 - Teusaquillo|05 a 09|6110|9|0.00147299509001636661
2023|14 - Los Mártires|05 a 09|4679|176|0.03761487497328488993
2023|15 - Antonio Nariño|05 a 09|3987|233|0.05843992977175821420
2023|16 - Puente Aranda|05 a 09|12427|149|0.01199002172688500845
2023|17 - La Candelaria|05 a 09|631|51|0.08082408874801901743
2023|18 - Rafael Uribe Uribe|05 a 09|24742|1850|0.07477164335946972759
2023|19 - Ciudad Bolívar|05 a 09|49953|2195|0.04394130482653694473
2023|1 - Usaquén|05 a 09|30386|591|0.01944974659382610413
2023|20 - Sumapaz|05 a 09|330|127|0.38484848484848484848
2023|2 - Chapinero|05 a 09|8198|63|0.00768480117101732130
2023|3 - Santa Fe|05 a 09|6522|792|0.12143514259429622815
2023|4 - San Cristóbal|05 a 09|26784|1072|0.04002389486260454002
2023|5 - Usme|05 a 09|29859|5174|0.17328108777922904317
2023|6 - Tunjuelito|05 a 09|11010|1023|0.09291553133514986376
2023|7 - Bosa|05 a 09|51838|7138|0.13769821366565068097
2023|8 - Kennedy|05 a 09|65179|5473|0.08396876294512036085
2023|9 - Fontibón|05 a 09|21660|264|0.01218836565096952909
2023|10 - Engativá|100 o más|361|3|0.00831024930747922438
2023|11 - Suba|100 o más|738|33|0.04471544715447154472
2023|12 - Barrios Unidos|100 o más|116|3|0.02586206896551724138
2023|14 - Los Mártires|100 o más|20|1|0.05000000000000000000
2023|15 - Antonio Nariño|100 o más|24|3|0.12500000000000000000
2023|16 - Puente Aranda|100 o más|127|1|0.00787401574803149606
2023|18 - Rafael Uribe Uribe|100 o más|109|20|0.18348623853211009174
2023|19 - Ciudad Bolívar|100 o más|116|7|0.06034482758620689655
2023|1 - Usaquén|100 o más|641|6|0.00936037441497659906
2023|3 - Santa Fe|100 o más|48|3|0.06250000000000000000
2023|4 - San Cristóbal|100 o más|117|4|0.03418803418803418803
2023|5 - Usme|100 o más|42|22|0.52380952380952380952
2023|6 - Tunjuelito|100 o más|66|24|0.36363636363636363636
2023|7 - Bosa|100 o más|108|32|0.29629629629629629630
2023|8 - Kennedy|100 o más|545|35|0.06422018348623853211
2023|9 - Fontibón|100 o más|198|1|0.00505050505050505051
2023|10 - Engativá|10 a 14|44788|431|0.00962311333392873091
2023|11 - Suba|10 a 14|74336|2760|0.03712871287128712871
2023|12 - Barrios Unidos|10 a 14|6657|63|0.00946372239747634069
2023|13 - Teusaquillo|10 a 14|5910|24|0.00406091370558375635
2023|14 - Los Mártires|10 a 14|4383|87|0.01984941820670773443
2023|15 - Antonio Nariño|10 a 14|4516|170|0.03764393268379096546
2023|16 - Puente Aranda|10 a 14|13217|154|0.01165166073995611712
2023|17 - La Candelaria|10 a 14|803|39|0.04856787048567870486
2023|18 - Rafael Uribe Uribe|10 a 14|24893|1416|0.05688346121399590246
2023|19 - Ciudad Bolívar|10 a 14|48933|1704|0.03482312549813009625
2023|1 - Usaquén|10 a 14|28954|277|0.00956689921945154383
2023|20 - Sumapaz|10 a 14|321|116|0.36137071651090342679
2023|2 - Chapinero|10 a 14|6721|24|0.00357089718791846451
2023|3 - Santa Fe|10 a 14|6045|562|0.09296939619520264682
2023|4 - San Cristóbal|10 a 14|26809|790|0.02946771606550039166
2023|5 - Usme|10 a 14|30473|4875|0.15997768516391559741
2023|6 - Tunjuelito|10 a 14|10898|917|0.08414387961093778675
2023|7 - Bosa|10 a 14|52644|6395|0.12147633158574576400
2023|8 - Kennedy|10 a 14|65869|4378|0.06646525679758308157
2023|9 - Fontibón|10 a 14|21830|181|0.00829134218964727439
2023|10 - Engativá|15 a 19|49706|551|0.01108518086347724621
2023|11 - Suba|15 a 19|80128|2681|0.03345896565495207668
2023|12 - Barrios Unidos|15 a 19|7646|91|0.01190164792048129741
2023|13 - Teusaquillo|15 a 19|6734|43|0.00638550638550638551
2023|14 - Los Mártires|15 a 19|4741|89|0.01877241088377979329
2023|15 - Antonio Nariño|15 a 19|5188|156|0.03006939090208172706
2023|16 - Puente Aranda|15 a 19|14788|189|0.01278063294563159318
2023|17 - La Candelaria|15 a 19|1751|37|0.02113078241005139920
2023|18 - Rafael Uribe Uribe|15 a 19|26583|1272|0.04785012978219162623
2023|19 - Ciudad Bolívar|15 a 19|50693|1472|0.02903753969976130827
2023|1 - Usaquén|15 a 19|30744|331|0.01076632838927920895
2023|20 - Sumapaz|15 a 19|319|132|0.41379310344827586207
2023|2 - Chapinero|15 a 19|7123|25|0.00350975712480696336
2023|3 - Santa Fe|15 a 19|6761|593|0.08770891879899423162
2023|4 - San Cristóbal|15 a 19|29205|722|0.02472179421331963705
